-------------------------------------------------------------------------------------------
There are total 5483 words in the document & 1485 distinct words (case in-sensitive)
Count : Word
-------------------------------------------------------------------------------------------
280: the
188: and
163: to
147: of
132: ai
91: that
86: in
83: is
69: a
66: we
65: intelligence
64: human
56: it
54: be
47: which
46: will
43: are
42: with
40: this
39: as
37: can
35: for
30: not
25: an
24: have
23: has
23: its
23: would
22: artificial
22: future
22: technology
22: intelligent
21: level
21: machine
21: our
20: could
20: by
20: on
20: machines
19: most
19: more
18: robots
17: but
16: there
16: if
15: humans
15: do
15: any
15: or
14: like
14: many
14: some
14: what
14: they
14: about
14: work
13: these
13: knowledge
13: super
13: science
13: self
13: he
13: from
12: world
12: their
12: at
12: than
12: problems
11: behavior
11: new
11: superintelligence
11: reasoning
11: high
11: very
11: friendly
11: smart
11: us
11: so
11: should
10: need
10: only
10: even
9: i
9: s
9: system
9: must
9: already
9: computer
9: think
9: no
9: creating
9: such
9: was
9: how
8: make
8: help
8: use
8: now
8: achieve
8: using
8: all
8: when
8: various
8: logic
8: certain
8: risks
8: test
8: highly
7: developed
7: 1
7: 5
7: 4
7: technological
7: possible
7: fiction
7: improvement
7: also
7: learning
7: logical
7: said
7: who
7: does
7: natural
7: systems
7: other
7: one
6: processing
6: efficiency
6: become
6: general
6: end
6: been
6: instead
6: once
6: agi
6: still
6: then
6: development
6: design
6: way
6: data
6: up
6: field
6: reach
6: researches
6: create
6: robotics
6: race
6: term
5: time
5: right
5: possibly
5: evolution
5: superintelligent
5: having
5: software
5: much
5: day
5: itself
5: every
5: action
5: develop
5: step
5: singularity
5: soon
5: people
5: goal
5: computers
5: just
5: existential
5: used
5: making
5: creative
5: consider
5: current
5: near
5: doing
5: example
5: bostrom
5: society
5: it’s
5: humanity
5: solve
5: being
5: computing
5: risk
5: real
5: able
5: rise
5: important
5: own
5: events
5: 16
5: smarter
5: provide
5: without
5: want
5: point
5: based
5: power
5: ever
5: rules
5: context
4: advanced
4: few
4: 8
4: made
4: t
4: far
4: code
4: through
4: take
4: jobs
4: capability
4: rather
4: probability
4: almost
4: his
4: intellect
4: while
4: task
4: problem
4: daily
4: works
4: quickly
4: progress
4: perform
4: thus
4: towards
4: non
4: say
4: according
4: solution
4: because
4: goals
4: number
4: scenario
4: view
4: may
4: methods
4: long
4: likely
4: better
4: makes
4: see
4: turing
4: issues
4: called
4: causes
4: improve
4: those
4: going
4: brilliant
4: 13
4: leads
4: extremely
4: cannot
4: fact
4: actions
4: react
4: out
4: language
4: kind
4: minds
4: were
4: stocks
3: external
3: 3
3: 2
3: biological
3: 9
3: each
3: side
3: markets
3: increasing
3: including
3: predict
3: resources
3: physical
3: creativity
3: never
3: engineers
3: reason
3: among
3: tech
3: closely
3: truly
3: single
3: easier
3: here
3: imitate
3: modify
3: changes
3: understand
3: suggest
3: best
3: exhibit
3: good
3: values
3: control
3: possibility
3: unfriendly
3: you
3: increase
3: core
3: person
3: strategies
3: start
3: optimized
3: post
3: process
3: improving
3: algorithms
3: sure
3: cognitive
3: known
3: movies
3: purpose
3: exist
3: addition
3: quite
3: threat
3: higher
3: over
3: achieving
3: before
3: receptors
3: driving
3: enough
3: close
3: financial
3: co
3: today
3: employee
3: vinge
3: why
3: nobody
3: ultimate
3: powerful
3: them
3: expert
3: algorithm
3: principle
3: beings
3: outcome
3: earth
3: recognition
3: study
3: programmers
3: ethics
3: gets
3: wrong
3: themselves
3: act
3: turn
3: defined
3: harm
3: 14
3: ability
3: both
3: explosion
3: sub
3: perception
3: engineering
3: functions
3: bring
3: choose
3: information
3: prevent
3: interaction
3: asi
3: mentioned
3: research
3: though
3: collective
3: researchers
3: sense
3: environment
3: fig
3: deals
2: particular
2: created
2: event
2: role
2: objects
2: stupidity
2: aspect
2: big
2: dependent
2: times
2: apocalypse
2: foundation
2: preferences
2: define
2: experts
2: computational
2: root
2: change
2: lead
2: had
2: founder
2: speech
2: large
2: hope
2: scientists
2: following
2: fuzzy
2: rational
2: law
2: main
2: therefore
2: expected
2: great
2: diverse
2: involve
2: neural
2: social
2: criterion
2: getting
2: bigger
2: thought
2: space
2: build
2: statistical
2: clear
2: acquisition
2: aidyia
2: robot
2: dangerous
2: thinks
2: intense
2: where
2: useful
2: writer
2: means
2: major
2: gives
2: into
2: past
2: scientific
2: moore
2: advance
2: energy
2: limited
2: etc
2: entities
2: complex
2: malicious
2: restrain
2: scenarios
2: life
2: autonomous
2: trust
2: musk
2: decades
2: economic
2: era
2: performance
2: effect
2: ordered
2: everything
2: divisions
2: existence
2: drive
2: focus
2: working
2: barrat
2: huge
2: visual
2: planning
2: improvements
2: put
2: mind
2: broken
2: improvise
2: survey
2: nlp
2: fund
2: decide
2: increased
2: paper
2: hawking
2: state
2: currently
2: receptor
